Player,Age,Team,Pos,G,MP,PER,WS,WS/48,BPM,VORP,Salary_2526,salary_pct_cap
Amen Thompson,23,HOU,PG,79,2953,18.9,10.3,0.167,2.6,3.4,9690600,6.266270927
Kevin Durant,37,HOU,SF,78,2840,21.1,10.7,0.18,4.5,4.7,54708609,35.37644377
Desmond Bane,27,ORL,SG,82,2756,16.9,7.4,0.129,1.4,2.3,36725670,23.74806495
Toumani Camara,25,POR,PF,82,2731,11.3,4.8,0.084,-1,0.7,2221677,1.436611767
Jabari Smith Jr.,22,HOU,PF,77,2705,13.5,6.6,0.118,-0.7,0.9,12350392,7.986182726
Mikal Bridges,29,NYK,SF,82,2692,15.3,8,0.143,2.7,3.2,24900000,16.10118528
Scottie Barnes,24,TOR,PF,80,2681,19.2,7.8,0.14,4.2,4.2,38661750,25
Tyrese Maxey,25,PHI,PG,70,2661,21.9,8.7,0.156,5.4,4.9,37958760,24.5454228
Jamal Murray,28,DEN,PG,75,2652,21.8,9.5,0.173,4.1,4.1,46394100,30
Derrick White,31,BOS,SG,77,2625,16,7,0.129,3.2,3.5,28100000,18.17041391
VJ Edgecombe,20,PHI,SG,75,2623,14,4.4,0.081,-0.5,1,11108880,7.183378921
Julius Randle,31,MIN,PF,79,2610,18.4,7.4,0.135,1.5,2.3,30864198,19.95783817
Brandon Ingram,28,TOR,SF,77,2604,16.3,4.6,0.084,0.5,1.7,38095238,24.63367411
Nickeil Alexander-Walker,27,ATL,SG,78,2603,16.5,6.3,0.116,1.2,2.1,15161800,9.804134577
Jalen Brunson,29,NYK,PG,74,2590,20.1,8.8,0.163,3.1,3.3,34944001,22.59597729
Payton Pritchard,28,BOS,PG,79,2556,17.1,8.5,0.16,2.3,2.8,7232143,4.676549173
Kon Knueppel,20,CHO,SF,81,2551,17.1,8,0.151,2.8,3.1,10015680,6.47647869
Jalen Johnson,24,ATL,SF,72,2532,20.4,7.5,0.141,4.2,4,30000000,19.39901841
Dyson Daniels,22,ATL,SG,76,2520,15.5,6.6,0.126,1.3,2.1,7707709,4.984066293
Paolo Banchero,23,ORL,PF,72,2502,17.6,5,0.095,1.4,2.1,15334769,9.915982205
Donte DiVincenzo,29,MIN,SG,82,2494,12.5,5.2,0.1,0.8,1.7,11990000,7.753141024
Jaylen Brown,29,BOS,SF,71,2443,22,6.9,0.135,3.3,3.3,53142264,34.36359192
James Harden,36,2TM,PG,70,2438,20.7,7.7,0.151,3.9,3.6,39182693,25.33685943
DeMar DeRozan,36,SAC,PF,77,2406,17.8,5.6,0.112,-0.1,1.1,24570000,15.88779608
Alperen ÅengÃ¼n,23,HOU,C,72,2398,21.4,8,0.161,4.2,3.7,33944954,21.94995959
Miles Bridges,27,CHO,PF,77,2387,16,6.5,0.13,1.1,1.9,25000000,16.16584867
Rudy Gobert,33,MIN,C,76,2380,17.5,8.7,0.176,1,1.8,35000000,22.63218814
